federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
089-5231,"Uranium Enrichment Decontamination and Decommissioning Fund, Energy Programs, Energy","Uranium Enrichment Decontamination and Decommissioning Fund, Energy Programs, Energy",089,5231,Department of Energy,DOE,089,Energy Programs,energy-programs,5832,898711518.08
089-5369,"Northeast Home Heating Oil Reserve, Energy Programs, Energy","Northeast Home Heating Oil Reserve, Energy Programs, Energy",089,5369,Department of Energy,DOE,089,Energy Programs,energy-programs,5835,14705968.16
089-5523,"Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Research Fund, Energy","Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Research Fund, Energy",089,5523,Department of Energy,DOE,089,Energy Programs,energy-programs,5838,7149192.34
089-5530,"Sales of Uranium, Energy Programs, Energy","Sales of Uranium, Energy Programs, Energy",089,5530,Department of Energy,DOE,089,Energy Programs,energy-programs,5839,
089-5615,Energy Security and Infrastructure Modernization Fund,Energy Security and Infrastructure Modernization Fund,089,5615,Department of Energy,DOE,089,Energy Programs,energy-programs,5841,178774667.78
089-5649,"Continuing Fund, Southwestern Power Administration, Power Marketing Administration, Energy","Continuing Fund, Southwestern Power Administration, Power Marketing Administration, Energy",089,5649,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5842,300000.0
089-5653,"Continuing Fund, Southeastern Power Administration, Power Marketing Administration, Energy","Continuing Fund, Southeastern Power Administration, Power Marketing Administration, Energy",089,5653,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5843,50000.0
089-8575,"Advances for Cooperative Work, Departmental Operations, Energy","Advances for Cooperative Work, Departmental Operations, Energy",089,8575,Department of Energy,DOE,089,Energy Programs,energy-programs,5859,68467.57
089-8576,"Gifts and Donations, Energy","Gifts and Donations, Energy",089,8576,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5860,136954.49
090-0400,"Salaries and Expenses, Selective Service System","Salaries and Expenses, Selective Service System",090,0400,Selective Service System,SSS,090,Selective Service System,selective-service-system,5861,38125308.77
091-0013,"Hurricane Education Recovery, Office of Elementary and Secondary Education, Education","Hurricane Education Recovery, Office of Elementary and Secondary Education, Education",091,0013,Department of Education,ED,091,Disaster Education Recovery,disaster-education-recovery,5865,1347131955.94
091-0101,"Indian Education, Office of Elementary and Secondary Education,  Education","Indian Education, Office of Elementary and Secondary Education,  Education",091,0101,Department of Education,ED,091,Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,5866,208278268.46
091-0102,"Impact Aid, Department of Education","Impact Aid, Department of Education",091,0102,Department of Education,ED,091,Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,5867,1638135527.39
091-0200,"Student Financial Assistance, Education","Student Financial Assistance, Education",091,0200,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5873,47540076951.55
091-0201,"Higher Education, Department of Education","Higher Education, Department of Education",091,0201,Department of Education,ED,091,Office of Postsecondary Education,office-of-postsecondary-education,5874,3953954050.12
091-0202,"Student and Administration, Education","Student and Administration, Education",091,0202,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5875,2308587785.71
091-0203,"Safe Schools and Citizenship Education,  Education","Safe Schools and Citizenship Education,  Education",091,0203,Department of Education,ED,091,Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,5876,1309930138.21
091-0204,"Innovation and Improvement, Education","Innovation and Improvement, Education",091,0204,Department of Education,ED,091,Office of Innovation and Improvement,office-of-innovation-and-improvement,5877,1666131249.25
091-0206,"Teach Grant Program Account,  Education","Teach Grant Program Account,  Education",091,0206,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5879,90567210.0
091-0220,"Chicago Litigation Settlement, Education","Chicago Litigation Settlement, Education",091,0220,Department of Education,ED,091,Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,5881,
091-0230,"Guaranteed Student Loans, Liquidating Account, Education","Guaranteed Student Loans, Liquidating Account, Education",091,0230,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5882,40000000.0
091-0231,"Federal Family Education Loan Program Account, Education","Federal Family Education Loan Program Account, Education",091,0231,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5883,3.0
091-0240,"Higher Education Facilities Loans and Insurance,  Education","Higher Education Facilities Loans and Insurance,  Education",091,0240,Department of Education,ED,091,Office of Postsecondary Education,office-of-postsecondary-education,5884,0.0
091-0241,"College Housing and Academic Facilities Loans Program,  Education","College Housing and Academic Facilities Loans Program,  Education",091,0241,Department of Education,ED,091,Office of Postsecondary Education,office-of-postsecondary-education,5885,612352.09
091-0242,"College Housing and Academic Facilities Loans, Liquidating Account, Education","College Housing and Academic Facilities Loans, Liquidating Account, Education",091,0242,Department of Education,ED,091,Office of Postsecondary Education,office-of-postsecondary-education,5886,1195000.0
091-0243,"Federal Direct Student Loan Program, Education","Federal Direct Student Loan Program, Education",091,0243,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5887,46105830989.01
091-0247,"Health Education Assistance Loans Program Account, Education","Health Education Assistance Loans Program Account, Education",091,0247,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5888,0.0
091-0248,"Iraq and Afghanistan Service Grants Program, Office of Federal Student AID, Education","Iraq and Afghanistan Service Grants Program, Office of Federal Student AID, Education",091,0248,Department of Education,ED,091,Office of Federal Student Aid,office-of-federal-student-aid,5889,51403.5
091-0249,Department of Education Nonrecurring Expenses Fund,Department of Education Nonrecurring Expenses Fund,091,0249,Department of Education,ED,091,Departmental Management,departmental-management,6296,189729090.61
091-0251,"Education Stabilization Fund, Department of Education","Education Stabilization Fund, Department of Education",091,0251,Department of Education,ED,091,Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,6337,134759200.41
091-0300,"Special Education, Education","Special Education, Education",091,0300,Department of Education,ED,091,Office of Special Education and Rehabilitative Services,office-of-special-education-and-rehabilitative-services,5891,15784294781.34
091-0301,"Rehabilitation Services, Education","Rehabilitation Services, Education",091,0301,Department of Education,ED,091,Office of Special Education and Rehabilitative Services,office-of-special-education-and-rehabilitative-services,5892,4689886757.44
091-0400,"Career, Technical, and Adult Education, Education","Career, Technical, and Adult Education, Education",091,0400,Department of Education,ED,091,"Office of Career, Technical, and Adult Education",office-of-career-technical-and-adult-education,5894,2254591190.32
091-0600,"American Printing House for the Blind, Special Institutions for Persons with Disabilities, Education","American Printing House for the Blind, Special Institutions for Persons with Disabilities, Education",091,0600,Department of Education,ED,091,Office of Special Education and Rehabilitative Services,office-of-special-education-and-rehabilitative-services,5895,43453510.45
